Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Ukraine 105327432 0 .04 22 128 7844 178045
Russia 105327432 .02 .02 117 128 4700 178045
Ukraine 105327432 0 .04 22 128 7844 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Ukraine 105327432 0 .04 22 128 7844 178045
Russia 105327432 .02 .02 117 128 4700 178045
Ukraine 105327432 0 .04 22 128 7844 178045
Russia 105327432 .02 .02 117 128 4700 178045
Ukraine 105327432 0 .04 22 128 7844 178045
Russia 105327432 .02 .02 117 128 4700 178045
Ukraine 105327432 0 .04 22 128 7844 178045
Russia 105327432 .02 .02 117 128 4700 178045
Ukraine 105327432 0 .04 22 128 7844 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Ukraine 105327432 0 .04 22 128 7844 178045
Russia 105327432 .02 .02 117 128 4700 178045
Georgia 105327432 .02 0 1 128 45 178045
Ukraine 105327432 0 .04 22 128 7844 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Ukraine 105327432 0 .04 22 128 7844 178045
TuckyoRose 105327432 .53 0 8 128 15 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Ukraine 105327432 0 .04 22 128 7844 178045
StandWithUkraine 105327432 0 0 5 128 1016 178045
Russia 105327432 .02 .02 117 128 4700 178045
StandWithUkraine 105327432 0 0 5 128 1016 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Ukraine 105327432 0 .04 22 128 7844 178045
Russia 105327432 .02 .02 117 128 4700 178045
Ukraine 105327432 0 .04 22 128 7844 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Ukraine 105327432 0 .04 22 128 7844 178045
Russia 105327432 .02 .02 117 128 4700 178045
Ukraine 105327432 0 .04 22 128 7844 178045
TuckyoRose 105327432 .53 0 8 128 15 178045
StandWithUkraine 105327432 0 0 5 128 1016 178045
StandWithUkraine 105327432 0 0 5 128 1016 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
RussiaInvadedUkraine 105327432 .02 0 1 128 44 178045
StandWithUkraine 105327432 0 0 5 128 1016 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Ukraine 105327432 0 .04 22 128 7844 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
TuckyoRose 105327432 .53 0 8 128 15 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
Russia 105327432 .02 .02 117 128 4700 178045
TuckyoRose 105327432 .53 0 8 128 15 178045
